State,Cases,Deaths,Population,Population..20..,Population >65,Mask Ratio,Home Ratio,Fatality Rate,% Adults with Diabetes,% Deaths from Asthma,% Adults with Obesity,% Deaths from Stroke,% Deaths from Heart Disease,% Adults who Smoke,"% Deaths from Chronic
Resp Disease",% Unemployed,% Minority,% Crowding,"% Adults in Multi-
Unit Dwellings",% Adults in Poverty,% Adults >65,ICUBeds,"ICU Beds Per 10,000",Household Income
Alabama,504561,10379,4754221,3569938,802656,0.727272727,0.083333333,0.020570357,0.107718804,1.33E-05,0.360395106,5.11E-04,0.002214131,0.205787231,7.27E-04,0.066823926,0.339461601,0.017063773,0.073989267,0.173638797,0.168830183,1870,3.9,50536
Alaska,60176,285,696053,506246,81432,0.077134986,0.086538462,0.004736107,0.060133352,1.55E-05,0.318960977,3.88E-04,0.001353387,0.19166505,5.16E-04,0.07301017,0.376304934,0.068874908,0.080512543,0.102867701,0.116991091,130,1.8,77640
Arizona,844913,16986,7162163,5327119,1257002,0,0.147435897,0.020103845,0.069961826,1.09E-05,0.279284716,3.05E-04,0.001371432,0.166308114,5.14E-04,0.065771331,0.448726909,0.045616196,0.119806211,0.16061067,0.175505919,1742,2.5,58945
Arkansas,298571,5028,2729590,2016536,456292,0.696969697,0,0.016840216,0.097367737,1.47E-05,0.34740122,4.28E-04,0.002222625,0.224295829,6.82E-04,0.055986325,0.282525193,0.026981499,0.071551647,0.175091719,0.167165032,856,2.9,47597
California,3683398,59769,39555944,29532613,5668745,0.804407713,1,0.016226593,0.065557556,1.13E-05,0.244667872,3.73E-04,0.001435003,0.130172825,4.23E-04,0.068469937,0.624487333,0.083081274,0.17168438,0.143020686,0.143309562,8131,2.1,75235
Colorado,458608,6035,5514613,4140119,776448,0.727272727,0.102564103,0.013159387,0.048660894,1.06E-05,0.224863164,3.58E-04,0.001249843,0.156324447,5.69E-04,0.047983156,0.320854963,0.027021346,0.165735622,0.110338425,0.140798275,1770,3.2,72331
Connecticut,315542,7912,3572665,2733719,615121,0.966942149,0,0.025074317,0.069742335,9.68E-06,0.2628541,2.70E-04,0.001428495,0.140718987,4.36E-04,0.065203802,0.324503592,0.018746137,0.12560635,0.100210557,0.172174273,731,2.1,78444
Delaware,96373,1566,967171,738096,181086,0.944903581,0.221153846,0.016249364,0.088407324,1.12E-05,0.324487198,4.55E-04,0.001599696,0.187906073,5.19E-04,0.058942595,0.371366351,0.016188824,0.106057837,0.118772639,0.187232661,249,2.7,68287
District of Columbia,45234,1074,702455,553743,85303,0.710743802,0.185897436,0.023743202,0.063138564,1.56E-05,0.24,3.64E-04,0.001955,0.153821853,3.02E-04,0.074,0.638,0.036,0.462,0.168,0.121435537,401,6,NA
Florida,2068786,33486,21172397,16485978,4332984,0,0.144230769,0.016186304,0.082581864,9.38E-06,0.271928918,4.05E-04,0.001480389,0.184239529,4.82E-04,0.063165872,0.456405696,0.031180056,0.198929811,0.147753369,0.204652501,6226,3,55660
Georgia,949224,16707,9588781,7021464,1299143,0,0.08974359,0.017600693,0.085201237,1.31E-05,0.322312859,4.39E-04,0.001734972,0.175304618,5.94E-04,0.06412362,0.48641675,0.023284189,0.115683375,0.160349943,0.135485731,2703,2.6,58700
Hawaii,30426,464,1420403,1086697,260930,0.388429752,0.21474359,0.015250115,0.085249046,1.53E-05,0.245810129,3.67E-04,0.001277702,0.156002853,2.78E-04,0.045229322,0.778516429,0.090661939,0.252525265,0.099253889,0.183701386,219,1.6,81275
Idaho,172592,1849,1648993,1185024,259708,0,0.118589744,0.010713127,0.064611554,1.21E-05,0.287934644,3.72E-04,0.001618181,0.172321137,5.83E-04,0.046592596,0.177498752,0.026085986,0.062209782,0.138586799,0.157494907,333,1.9,55785
Illinois,1226070,22796,12370759,9281859,1930315,0.936639118,0.221153846,0.018592739,0.07474117,1.49E-05,0.297232565,3.83E-04,0.001634992,0.172743008,4.88E-04,0.06618861,0.390942662,0.02574197,0.148348902,0.131682196,0.156038526,3426,2.8,65886
Indiana,667987,12557,6409751,4724669,1000904,0.696969697,0.173076923,0.01879827,0.088442437,1.20E-05,0.337313033,3.98E-04,0.001805822,0.221586509,6.93E-04,0.05472993,0.212112707,0.017547484,0.082208235,0.142468678,0.156153336,2358,3.6,56303
Iowa,338064,5514,3019688,2233104,514325,0.225895317,0,0.016310521,0.072833352,1.10E-05,0.341995839,3.15E-04,0.001617313,0.182880571,5.85E-04,0.039236288,0.142272234,0.016854117,0.101043948,0.118434823,0.170323888,622,2,60523
Kansas,300389,3850,2855377,2082158,450592,0.749311295,0.112179487,0.012816714,0.075751468,1.09E-05,0.328781851,3.71E-04,0.001558914,0.18181036,6.25E-04,0.043704458,0.241569198,0.02151556,0.086328163,0.124211308,0.157804731,878,3.1,59597
Kentucky,377229,5357,3829332,2861329,620304,0.743801653,0,0.014200923,0.092814621,1.07E-05,0.341750907,4.02E-04,0.001959225,0.233600688,7.55E-04,0.061878098,0.167160339,0.019474242,0.072663345,0.176829392,0.161987522,1447,3.3,50589
Louisiana,434247,9856,4530405,3352314,699351,0.666666667,0.169871795,0.02269676,0.096180143,1.29E-05,0.362350598,4.70E-04,0.002133888,0.227001863,5.86E-04,0.069512716,0.409420128,0.023571096,0.073536888,0.1942148,0.154368318,1518,3.4,49469
Maine,51249,740,1302770,1027706,268118,0.936639118,0.189102564,0.014439306,0.08203597,8.77E-06,0.299990494,3.54E-04,0.001461491,0.192504808,6.11E-04,0.04750566,0.066749432,0.015389136,0.052104388,0.125310435,0.20580609,288,2.2,57918
